,adrenal.gland,esophagus,testis,kidney,ovary,pancreas,prostate,liver,colon,heart,lung
ENSG00000075624,NA,9.86630658950806,9.74305329533635,9.58425817859526,NA,NA,7.90714389229938,7.04526989559125,9.35221370215701,6.11204495855781,NA
ENSG00000169067,6.8380490005847,NA,5.40555531196278,4.94264111414,NA,8.66123086574173,NA,NA,4.71746793167614,NA,9.0393590048469
ENSG00000163017,NA,6.30603897559552,5.58170965578855,NA,NA,NA,7.89352732129684,NA,9.94448260370617,NA,5.79190069049575
ENSG00000136518,6.37254380075907,NA,7.03270220521804,6.38842552761643,7.17188481346917,5.92389353304875,6.42685456664429,NA,6.86776847498445,NA,6.52533636381912
ENSG00000072110,9.60015939621791,10.4137726992373,9.32883859900324,7.7487094442976,8.75293141106003,8.83452102057157,9.56985537659981,8.13581445712302,9.30968695563932,7.75931730363943,8.24587698415431
ENSG00000130402,10.2309464093383,10.0144821703142,10.1077821121478,9.29547283034644,9.16599071652916,9.60317513203832,9.17129736907123,9.10143688768096,8.81434744557527,8.46461904054298,8.86939177723727
ENSG00000131966,6.62108276332563,NA,6.59225378238154,6.11125997964879,6.06704518847772,NA,6.33569459866541,NA,6.24148281478852,6.25598832933131,6.25947922824539
ENSG00000138107,7.48863531108213,7.48094376165,7.28035656940848,7.4467922562712,5.94235156245605,7.35509932945115,7.44748721338016,6.38012708119993,7.29004852586458,7.22204686659368,7.50548475401206
ENSG00000115073,7.44502787494877,5.71025866053362,7.41246511484872,7.12145132448187,5.21368408783652,6.2383184599306,6.9114873205814,5.23402360583747,7.43841893182032,6.50416691546329,6.52873783427707
ENSG00000138071,7.58017200215562,7.9879506060775,7.59032862751346,7.59505287890639,6.44143465887195,7.39770112195351,7.6599253427107,7.07906359195772,7.57847939407897,7.01691626551879,7.83145175755492
ENSG00000115091,7.65411876049793,7.95065698866694,7.74975347828743,7.96957308981891,7.76698193091218,7.54217552663379,8.00678430531982,7.43033956252662,7.64161176504222,7.73303326483771,7.97009362069291
ENSG00000132744,NA,NA,NA,7.48374085658241,NA,NA,NA,NA,NA,NA,NA
ENSG00000170634,6.44255815449592,NA,NA,5.6646437023274,5.43389627074457,NA,6.62938306750758,6.8656402802241,6.61867798430219,7.35334072949278,6.69339513642461
ENSG00000196839,NA,NA,NA,NA,NA,NA,NA,NA,5.15842261457869,NA,NA
ENSG00000137845,5.78758089837872,NA,5.10442688575601,6.33547204729816,4.96318627091457,6.16549432910863,6.89868114829508,5.78934472241396,6.36452532345685,NA,6.51506876573376
ENSG00000151694,NA,NA,4.95329044619221,NA,NA,NA,NA,NA,NA,NA,NA
ENSG00000168615,NA,NA,NA,NA,NA,NA,NA,NA,5.31084907854255,NA,NA
ENSG00000105963,NA,NA,NA,NA,NA,NA,NA,NA,5.44326990059881,NA,NA
ENSG00000160710,6.14282729453834,NA,6.24813692190924,NA,5.9961865310175,6.21033757477464,5.84145390429736,5.21191827221109,5.66522785861001,NA,6.29413942903515
ENSG00000163050,7.03124683623268,6.77137604524357,6.62527146112589,6.5635692298463,6.09267054988098,6.56216358247039,5.58911371975884,NA,6.18814754995948,7.99888045126117,NA
